vendor_id,vendor_name,category,contact_person,email,phone,location,trn_number
VEN-001,"Sanders, Garcia and Hunt",Logistics & Transport,Sarah Brooks,kenneth17@rogers.com,+971-4-5022184,Ras Al Khor,10044432830969
VEN-002,"Flores, Taylor and Johnson",Consultancy Services,Edward Meadows MD,aguilarwanda@cooper.com,+971-4-8415136,International City,10087584282419
VEN-003,Anderson-Green,Catering Services,Pamela White,destiny35@garner.biz,+971-4-8165898,Jebel Ali,10055494717099
VEN-004,"Blackburn, Jones and Preston",Construction Materials,Sharon James,robert22@cooper.info,+971-4-2133954,Ras Al Khor,10025217525009
VEN-005,Hill-Juarez,Logistics & Transport,Phillip Burns,andersonryan@powell-sanford.biz,+971-4-9076801,Al Quoz,10000835058309
VEN-006,"Smith, Gross and Perez",Heavy Machinery,Emily Garcia,gary04@bryant-meyer.net,+971-4-1971832,Al Quoz,10056257532609
VEN-007,Walker and Sons,Construction Materials,Alex Wagner,richardsondebra@brooks.com,+971-4-2281911,Al Quoz,10089090100169
VEN-008,James-Kelley,IT Software & Licensing,Christian Neal,turnerdorothy@meyer.biz,+971-4-2645270,Al Quoz,10018914117399
VEN-009,Strickland PLC,Heavy Machinery,Heather Ortiz,benjamincrawford@watts.com,+971-4-8969821,Jebel Ali,10030011972189
VEN-010,Cummings Inc,Manpower Supply,Maria Bryant,joseph01@sawyer.com,+971-4-1872886,Jebel Ali,10056110022559
VEN-011,Friedman-Adams,Heavy Machinery,Jacqueline Cooper,moralessuzanne@houston-vaughn.info,+971-4-2977719,Dubai Investment Park,10062120216979
VEN-012,"Gregory, White and James",IT Software & Licensing,Allen Cohen,timothyfreeman@alexander-brown.com,+971-4-1318170,Al Quoz,10008993588919
VEN-013,Stanley-Wright,IT Software & Licensing,Michael Cruz,smithsarah@allison.com,+971-4-7782201,Dubai Investment Park,10075354083869
VEN-014,Montoya-Miller,IT Software & Licensing,Kenneth Miller,hwest@mcgee-smith.biz,+971-4-9766043,Ras Al Khor,10060880199489
VEN-015,"Clark, Powers and Clements",IT Software & Licensing,Anthony Walker,xrivera@greene.info,+971-4-2334588,International City,10011305548859
VEN-016,"Rodriguez, Prince and Vasquez",Construction Materials,Natalie Ortiz,cheryl31@lewis-summers.com,+971-4-5384538,Al Quoz,10051609177989
VEN-017,Maynard Inc,IT Hardware,Amber Mcconnell,xglass@holt.com,+971-4-4721603,Dubai Investment Park,10016995866939
VEN-018,Sanders-Cooper,Construction Materials,Robert Taylor,megan85@doyle.com,+971-4-2219135,Jebel Ali,10094522885159
VEN-019,"Castillo, Duncan and Contreras",Consultancy Services,Paul Skinner,natalie60@rodriguez.com,+971-4-2173415,Al Quoz,10034244204389
VEN-020,Howard Group,Consultancy Services,Sean Stevenson,juliahoffman@dixon.com,+971-4-4329917,Dubai Investment Park,10006665800439
VEN-021,"Melton, Dalton and Ramos",Catering Services,Mark Mckinney,kari89@parsons.com,+971-4-3080637,Al Quoz,10072122816069
VEN-022,Hawkins-Anderson,Catering Services,Dawn Rivera,billmcfarland@williams.com,+971-4-2272299,International City,10079851583289
VEN-023,Hartman and Sons,Manpower Supply,Joshua Davis,nicolealvarado@ward-robinson.org,+971-4-8330436,Jebel Ali,10087801573999
VEN-024,Haley Ltd,Construction Materials,Jane Hogan,cruzamber@johnson-black.com,+971-4-7502052,Dubai Investment Park,10088770435819
VEN-025,Jackson PLC,Construction Materials,Lori Clark,michellecoleman@harris.biz,+971-4-8283995,Dubai Investment Park,10012075011029
VEN-026,Grant-Andrews,IT Software & Licensing,David Hughes,bhamilton@nunez-nichols.org,+971-4-7965031,Al Quoz,10019015814499
